"distance","meanCounts","normDensity","funcDensity","rawDensity","normPropOccup","source","timePoint","position"
16.5,47.5776747934717,0.0446963210325305,0.0446963210325305,0.0014994128114056,0.0319850662526195,"finalRG",0,0
17.5,50.003425347572,0.0469313166088647,0.0469313166088647,0.00157586046198711,0.0316949223558598,"finalRG",0,0
18.5,50.3579201934704,0.0471952646837388,0.0471952646837388,0.00158703238486532,0.0301942357923667,"finalRG",0,0
19.5,54.9969745865268,0.0521958494077391,0.0521958494077391,0.00173323241712732,0.0312847128701821,"finalRG",0,0
20.5,56.2213925327952,0.0533487634210841,0.0533487634210841,0.00177182001021839,0.030421156664802,"finalRG",0,0
21.5,59.7043936019437,0.0571775541961381,0.0571775541961381,0.00188158696389762,0.0308031986891378,"finalRG",0,0
22.5,62.6854001221747,0.0602293632716005,0.0602293632716005,0.00197553353414765,0.0309037989372321,"finalRG",0,0
23.5,64.2113970588235,0.0610971039859731,0.0610971039859731,0.00202362540427181,0.0303090442771901,"finalRG",0,0
24.5,70.0071794871795,0.0683723135193372,0.0683723135193372,0.00220627977867996,0.0316960017206763,"finalRG",0,0
25.5,77.9927730745406,0.0777544627113188,0.0777544627113188,0.00245794616177968,0.0339267428575888,"finalRG",0,0
26.5,45.1632695944526,0.0463409577663535,0.0463409577663535,0.00142332271025946,0.0189045997373351,"finalRG",0,0
0.5,16.6514,0.163483982088004,0.163483982088004,0.00052476970756177,0.369410073923459,"finalRR",0,0
1.5,9.25369458128079,0.0604495163099028,0.0604495163099028,0.000291630649632143,0.0684308426385778,"finalRR",0,0
2.5,3.60521296884933,0.0164114441042011,0.0164114441042011,0.000113618467838198,0.0159962764612278,"finalRR",0,0
3.5,3.04447754841456,0.0141941136188763,0.0141941136188763,9.5946862892002e-05,0.00964878694213727,"finalRR",0,0
4.5,3.08658562593303,0.0131164642911586,0.0131164642911586,9.72739010704951e-05,0.00760840813016061,"finalRR",0,0
5.5,3.21289771513987,0.0132872293881735,0.0132872293881735,0.000101254632907733,0.00647980886378284,"finalRR",0,0
