"distance","meanCounts","normDensity","funcDensity","rawDensity","normPropOccup","source","timePoint","position"
16.5,21.0162533861221,0.0407784707843749,0.0407784707843749,0.000662328281314446,0.0141286067437072,"finalGG",0,2
17.5,23.4132717345653,0.0456612925622781,0.0456612925622781,0.000737870434991178,0.0148406199088464,"finalGG",0,2
18.5,22.4979928163955,0.0444270325669356,0.0444270325669356,0.000709025373901695,0.0134896297810429,"finalGG",0,2
19.5,23.8456776947705,0.0471586434857115,0.0471586434857115,0.000751497730551003,0.013564476691388,"finalGG",0,2
20.5,24.0611099114662,0.0470710164259786,0.0470710164259786,0.000758287087683422,0.0130193643588384,"finalGG",0,2
21.5,26.275,0.0517317450140411,0.0517317450140411,0.000828057945048796,0.0135560215375966,"finalGG",0,2
22.5,28.8910142348754,0.0570195577080813,0.0570195577080813,0.000910501765088733,0.0142432223973547,"finalGG",0,2
23.5,30.0605991829324,0.0580931751885608,0.0580931751885608,0.000947361293486374,0.0141891949617558,"finalGG",0,2
24.5,31.6637147518061,0.0605429870086569,0.0605429870086569,0.000997883561179517,0.0143358604732825,"finalGG",0,2
25.5,34.5765417170496,0.0682393496016511,0.0682393496016511,0.00108968144932879,0.015040745360059,"finalGG",0,2
26.5,20.3990134994808,0.0410930731234076,0.0410930731234076,0.000642875935276982,0.00853869059319715,"finalGG",0,2
0.5,0.517472274534421,0.00173671249863585,0.00173671249863585,1.63081647296175e-05,0.011480084028316,"finalRG",0,2
1.5,1.63883657668968,0.00496631708642465,0.00496631708642465,5.16480170490757e-05,0.0121191559657327,"finalRG",0,2
2.5,2.65606028888424,0.00754951623081076,0.00754951623081076,8.37058734439274e-05,0.0117849001004347,"finalRG",0,2
3.5,3.63546901172529,0.0108326370829213,0.0108326370829213,0.000114571988549489,0.0115218014818821,"finalRG",0,2
4.5,4.28969417679095,0.0115860767222714,0.0115860767222714,0.000135189927494626,0.0105740607927353,"finalRG",0,2
5.5,5.59542785234899,0.014911783066309,0.014911783066309,0.00017634018987954,0.0112849228979361,"finalRG",0,2
6.5,6.81608230107075,0.0179662820210103,0.0179662820210103,0.000214809176156351,0.0116318677140888,"finalRG",0,2
7.5,7.49379339364612,0.0210355292109584,0.0210355292109584,0.000236167275286883,0.011083283373626,"finalRG",0,2
8.5,9.02969046114972,0.0251485943279112,0.0251485943279112,0.000284571148532306,0.0117837066544458,"finalRG",0,2
9.5,9.97428330522766,0.0264844118253,0.0264844118253,0.000314340039469508,0.0116462492267686,"finalRG",0,2
10.5,11.1672290172923,0.0289120632810363,0.0289120632810363,0.00035193578351849,0.0117973403546166,"finalRG",0,2
11.5,12.4059928254906,0.0323039028196382,0.0323039028196382,0.000390975487169015,0.0119663491586773,"finalRG",0,2
12.5,12.6015641513422,0.0330228285445294,0.0330228285445294,0.000397138927328678,0.011182590640303,"finalRG",0,2
13.5,14.0421074904782,0.0354231798543883,0.0354231798543883,0.000442537723034051,0.0115378930791688,"finalRG",0,2
14.5,15.5744861199407,0.0413418610638205,0.0413418610638205,0.000490830712527842,0.0119144420473026,"finalRG",0,2
15.5,17.3708890303416,0.0465397233616626,0.0465397233616626,0.000547444440499918,0.012431351119202,"finalRG",0,2
16.5,18.175505857295,0.0483141952613311,0.0483141952613311,0.000572801980225083,0.0122188560400228,"finalRG",0,2
17.5,19.6941705957994,0.0509856441337787,0.0509856441337787,0.000620662775756349,0.0124832489686075,"finalRG",0,2
18.5,20.6318063958513,0.0526767311990734,0.0526767311990734,0.000650212415101551,0.0123706782318538,"finalRG",0,2
19.5,23.1636205395997,0.0583018761301136,0.0583018761301136,0.000730002665039428,0.0131764923991429,"finalRG",0,2
20.5,24.0618149934239,0.061167934362854,0.061167934362854,0.000758309308376743,0.0130197458756904,"finalRG",0,2
21.5,25.6085511741249,0.0670162843245468,0.0670162843245468,0.000807054776819137,0.0132121815894608,"finalRG",0,2
22.5,27.0130044843049,0.0691157264688902,0.0691157264688902,0.000851316193448809,0.0133173666858066,"finalRG",0,2
23.5,27.5278411684162,0.0718437092688525,0.0718437092688525,0.000867541297413831,0.0129936832874801,"finalRG",0,2
24.5,29.1853589863914,0.0773955329017686,0.0773955329017686,0.000919778054720557,0.0132137760073683,"finalRG",0,2
25.5,31.8148962148962,0.0869604712270486,0.0869604712270486,0.00100264805258412,0.0138394335830585,"finalRG",0,2
26.5,18.9041168658699,0.0549234545264145,0.0549234545264145,0.000595764192765537,0.00791295151892571,"finalRG",0,2
