"distance","meanCounts","normDensity","funcDensity","rawDensity","normPropOccup","source","timePoint","position"
26.5,33.1705069124424,0.0415462714816453,0.0415462714816453,0.00104537019182279,0.0138846270851314,"finalGG",0,2
0.5,0.814450993232919,0.00135704828976343,0.00135704828976343,2.566746396953e-05,0.0180685348749779,"finalRG",0,2
1.5,2.46671032525649,0.00470302206547842,0.00470302206547842,7.77384998273088e-05,0.0182412618678862,"finalRG",0,2
2.5,3.67692643527614,0.00698573933647998,0.00698573933647998,0.000115878521335504,0.0163144680479296,"finalRG",0,2
3.5,4.66753983846322,0.0087621990750943,0.0087621990750943,0.00014709775250509,0.0147927178732924,"finalRG",0,2
4.5,6.33573455577385,0.0130629925688003,0.0130629925688003,0.00019967099283078,0.0156175334647059,"finalRG",0,2
5.5,8.61645928836499,0.0166430841059068,0.0166430841059068,0.000271548147361375,0.0173777736552503,"finalRG",0,2
6.5,9.4773968115309,0.0175184983367487,0.0175184983367487,0.000298680636657214,0.0161734881000978,"finalRG",0,2
7.5,9.75758899322996,0.0203433348481443,0.0203433348481443,0.000307510907340238,0.0144314258713133,"finalRG",0,2
8.5,11.0971827910024,0.0242839448213868,0.0242839448213868,0.000349728273177861,0.0144817751242479,"finalRG",0,2
9.5,11.8460359176522,0.0242381482547639,0.0242381482547639,0.000373328417086406,0.0138317593780319,"finalRG",0,2
10.5,14.0728709394205,0.0284843794201647,0.0284843794201647,0.000443507234673016,0.0148669332366923,"finalRG",0,2
11.5,15.6101471557215,0.0344148831057283,0.0344148831057283,0.000491954571862076,0.0150569546437175,"finalRG",0,2
12.5,15.1627855887522,0.0365027864931643,0.0365027864931643,0.000477855949603716,0.0134554109449692,"finalRG",0,2
13.5,16.1965585704831,0.0364063299016349,0.0364063299016349,0.000510435357059437,0.0133081277980137,"finalRG",0,2
14.5,17.5348220207827,0.0383654677492249,0.0383654677492249,0.000552610796929616,0.0134140939975473,"finalRG",0,2
15.5,19.5337328007102,0.0401291196960163,0.0401291196960163,0.000615606570583761,0.0139791746231382,"finalRG",0,2
16.5,20.3100533807829,0.0417243968356539,0.0417243968356539,0.000640072352666887,0.0136538493274101,"finalRG",0,2
17.5,22.0513163766176,0.0459872512268074,0.0459872512268074,0.000694948343461192,0.0139773376632353,"finalRG",0,2
18.5,22.7472650145122,0.0498490785068041,0.0498490785068041,0.000716881199748708,0.0136390915439095,"finalRG",0,2
19.5,26.0560684530511,0.0578277627662684,0.0578277627662684,0.000821158306347641,0.0148218447688795,"finalRG",0,2
20.5,27.7778532608696,0.0649892453832835,0.0649892453832835,0.000875420441068036,0.0150304783960637,"finalRG",0,2
21.5,29.0711833371481,0.0663691770034738,0.0663691770034738,0.000916179803398502,0.0149986522337507,"finalRG",0,2
22.5,30.9573876794812,0.0663829538755714,0.0663829538755714,0.00097562362800952,0.0152619410995863,"finalRG",0,2
23.5,32.7815384615385,0.0700470782506619,0.0700470782506619,0.00103311183155089,0.0154735318995625,"finalRG",0,2
24.5,35.3556091676719,0.0795099897385165,0.0795099897385165,0.00111423379917529,0.0160073789177481,"finalRG",0,2
25.5,40.3170608958228,0.0941358067978285,0.0941358067978285,0.00127059419964994,0.0175378628540243,"finalRG",0,2
26.5,23.4909873553941,0.0647733290010406,0.0647733290010406,0.00074031964668601,0.00983293985081791,"finalRG",0,2
0.5,16.3116,0.309987552722373,0.309987552722373,0.000514060893490312,0.361871636127286,"finalRR",0,2
1.5,7.88587304979696,0.103687394661402,0.103687394661402,0.000248523685348451,0.0583158362315182,"finalRR",0,2
2.5,2.01182033096927,0.017632368565183,0.017632368565183,6.34026188037983e-05,0.00892641696414805,"finalRR",0,2
3.5,1.14292543021033,0.0122917644176982,0.0122917644176982,3.60193523533386e-05,0.0036222451279343,"finalRR",0,2
4.5,1.0129963898917,0.00934653235572689,0.00934653235572689,3.19246321200977e-05,0.00249702775258195,"finalRR",0,2
5.5,1.51194786386676,0.0133292512119014,0.0133292512119014,4.76491128896072e-05,0.00304931374680718,"finalRR",0,2
6.5,2.20416061925496,0.0191845754509919,0.0191845754509919,6.94642326522452e-05,0.0037614722961532,"finalRR",0,2
7.5,1.97555071411281,0.0173800120445665,0.0173800120445665,6.22595800063913e-05,0.00292182973739927,"finalRR",0,2
8.5,1.62560620756547,0.0145765607123463,0.0145765607123463,5.1231061301436e-05,0.00212140900820632,"finalRR",0,2
9.5,1.68824531516184,0.0163115421546243,0.0163115421546243,5.32051359243071e-05,0.00197124195239113,"finalRR",0,2
10.5,2.22490253411306,0.0206722955462013,0.0206722955462013,7.01179151410664e-05,0.00235044274726849,"finalRR",0,2
11.5,2.62616364527193,0.0250295455984892,0.0250295455984892,8.27636792184862e-05,0.00253309763831061,"finalRR",0,2
12.5,3.13800792864222,0.0307919909449098,0.0307919909449098,9.88944775238175e-05,0.00278465892571705,"finalRR",0,2
13.5,3.67842741935484,0.031259933729679,0.031259933729679,0.000115925824924153,0.0030224310911149,"finalRR",0,2
14.5,3.93379345603272,0.0320386933188426,0.0320386933188426,0.000123973698399576,0.00300934193250534,"finalRR",0,2
15.5,3.6312661498708,0.0316441803837842,0.0316441803837842,0.000114439535146994,0.00259868936111838,"finalRR",0,2
